,comment,like,time,title_list
90, @ehddudrla7704 이적설은 딱히 없던데..오너페이커빼고 재계약이고 구마유시는 소원?자체가 재계약인거보면..케리아제우스빼곤 다 T1이고 2명도 왠지 남을것같음,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
91,"""The fourth one.. is for my teammates"" is prob the best line in one of these teasers ever. I got straight goosebumps. This team is so close and they absolutely deserved to win it all.",81,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
92,"I remember when I used to hate T1 because of their dominance. It seemed like they couldn't be defeated. However, after all this years, after all the defeats, and everything they went through,  I admire Faker so much, especially for being so loyal and for staying in the same team. I want him to win his 4th title, he deserves it.",21,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
93,"that transition at 5:02 blew me away, and it was how i knew how this series was going to end. faker so confident, collected, ready to win with his team.",35,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
94,The third trophy... was for myselfBut the fourth trophy.... is for my teammate.I'm crying even before the game starts,754,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
95,You are not alone bro. It's okay. I cried as well. ,20,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
96,2023 월즈는 티저도 그렇고 테마곡도 그렇고 걍 존나 전설이다... 서사 완벽하다. T1 평상시 모습 나올 때 왜 이렇게 울컥하냐 ㅠㅠ우승하자 T1 믿습니다 ,72,4 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
97,"When Faker says the 4th trophy is for his teammates and it showed a photo of their backs together, then they played the caster saying it might be the last time this roster plays together, followed by his teammates walking forward together...️ my heart cannot take it!!! I can really feel you winning !! 화이팅 T1 lets go!! ",52,4 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
98,아 .. 너무 감동적인 결승 티저 영상이네요 .. 선수분들 포함 티저 메이킹 하신분들 진짜 리스펙합니다 ..,41,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
99,ㅇㅈ,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
100,It's a crime that whoever is producing these teasers is not given credit in the description. The teasers have been fantastic this year.,40,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
101,"The Fourth, for his teammates. This team is so deserving congratulations to them for finally making it happen",23,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
102,Please give this T1 roster the worlds finals win...Take my energyEdit: Im so happy they won! They deserve it,663,4 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
103,I hope WBG wins. I don't even like them. I just want to see all the Faker fanboys cry .,7,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
104, @DonKey496 some people just want to watch the world burn,13,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
105," @DonKey496 imagine being a loser who only wishes for someone's failures  just so you can laugh about it, you probably peaked in high school ",56,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
106," @FreedomMaple   I'm in middle school, Dummy. ",0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
107, @FreedomMaple   They haven't even lost yet you're already crying lol,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
108, @ndnd7614 it didn't even start,2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
109," @DonKey496  explains it, now I indeed feel dumb for arguing with a kid less than half my age that is obviously edgy and not mature enough, who thinks they are cool for hating on mainstream. Probably do not know anything about any of the players or their fans.",28,4 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
110, @FreedomMaple  Based Korone pfp,3,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
111," @FreedomMaple  Why are you so mad? Lol. Imagine crying over a youtube comment. Get a life, sir .",0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
112,4:53 faker saying this time the trophy's for his teammates gave me actual goosebumps.. good luck to them,22,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
